frame,timestamp_s,conf,det_px_x,det_px_y,det_w,det_h,center_dist,drone_lat,drone_lon,drone_alt_m,drone_yaw,target_lat,target_lon
877,146.17,0.619,1110,650,126,73,0.560,51.4234110,-2.6714970,15.5,153.0,51.4234041,-2.6715513
1162,193.67,0.682,1247,752,107,61,0.809,51.4234260,-2.6714530,15.8,152.9,51.4234214,-2.6715325
901,150.17,0.433,1357,649,128,75,0.885,51.4234160,-2.6714790,15.6,153.0,51.4233992,-2.6715645
92,15.33,0.843,645,829,296,164,0.536,51.4233350,-2.6713820,13.7,153.0,51.4233574,-2.6713888
86,14.33,0.848,635,931,293,160,0.723,51.4233340,-2.6713820,13.5,153.0,51.4233634,-2.6713933
94,15.67,0.811,654,786,308,167,0.456,51.4233350,-2.6713830,13.8,153.0,51.4233543,-2.6713884
367,61.17,0.787,1059,822,306,168,0.684,51.4233440,-2.6715110,16.3,153.0,51.4233529,-2.6715729
367,61.17,0.787,1059,822,306,168,0.684,51.4233440,-2.6715110,16.3,153.0,51.4233529,-2.6715729
640,106.67,0.469,1307,571,156,92,0.797,51.4234010,-2.6715370,16.0,153.0,51.4233795,-2.6716132
913,152.17,0.585,918,651,126,72,0.327,51.4234190,-2.6714720,15.6,153.0,51.4234198,-2.6715027
