frame,timestamp_s,conf,det_px_x,det_px_y,det_w,det_h,center_dist,drone_lat,drone_lon,drone_alt_m,drone_yaw,target_lat,target_lon
881,29.37,0.492,1014,445,95,102,0.433,51.4234120,-2.6714950,15.5,153.0,51.4233905,-2.6715281
887,29.57,0.479,1051,434,84,95,0.488,51.4234130,-2.6714900,15.6,153.0,51.4233889,-2.6715276
925,30.83,0.472,1226,425,106,111,0.718,51.4234210,-2.6714650,15.7,153.0,51.4233879,-2.6715272
931,31.03,0.456,1258,411,81,97,0.768,51.4234220,-2.6714620,15.7,153.0,51.4233861,-2.6715279
943,31.43,0.503,1294,420,125,118,0.810,51.4234250,-2.6714550,15.7,152.9,51.4233882,-2.6715266
955,31.83,0.564,1310,452,288,179,0.817,51.4234270,-2.6714490,15.8,153.0,51.4233924,-2.6715254
967,32.23,0.409,1335,452,236,179,0.851,51.4234290,-2.6714420,15.8,153.0,51.4233932,-2.6715221
973,32.43,0.629,1349,452,211,184,0.870,51.4234300,-2.6714380,15.8,153.0,51.4233936,-2.6715202
1170,39.00,0.433,1246,459,323,186,0.728,51.4234230,-2.6714620,15.8,153.0,51.4233918,-2.6715301
1176,39.20,0.539,1208,461,329,191,0.677,51.4234200,-2.6714680,15.9,153.0,51.4233906,-2.6715311
1182,39.40,0.708,1155,468,311,182,0.603,51.4234180,-2.6714740,16.0,153.0,51.4233915,-2.6715303
1188,39.60,0.557,1105,470,311,186,0.535,51.4234160,-2.6714810,16.1,153.0,51.4233919,-2.6715304
1192,39.73,0.740,1071,473,334,191,0.489,51.4234150,-2.6714840,16.0,153.0,51.4233927,-2.6715286
1198,39.93,0.692,1026,477,327,193,0.427,51.4234130,-2.6714910,16.0,153.0,51.4233932,-2.6715292
1204,40.13,0.592,980,473,311,179,0.370,51.4234110,-2.6714970,16.0,153.0,51.4233930,-2.6715282
1210,40.33,0.811,923,482,341,193,0.291,51.4234080,-2.6715050,15.9,153.0,51.4233935,-2.6715286
1216,40.53,0.781,875,486,327,186,0.228,51.4234060,-2.6715120,15.9,153.0,51.4233940,-2.6715290
1226,40.87,0.794,800,491,320,182,0.139,51.4234010,-2.6715240,15.9,153.0,51.4233929,-2.6715305
1232,41.07,0.499,753,495,304,179,0.096,51.4233990,-2.6715310,15.9,153.0,51.4233935,-2.6715310
1238,41.27,0.793,712,493,318,182,0.096,51.4233970,-2.6715370,15.9,153.0,51.4233932,-2.6715310
1246,41.53,0.597,643,498,311,179,0.144,51.4233950,-2.6715440,15.9,153.0,51.4233948,-2.6715284
1252,41.73,0.749,593,495,334,191,0.206,51.4233930,-2.6715510,15.9,153.0,51.4233948,-2.6715280
1258,41.93,0.675,546,493,323,186,0.267,51.4233910,-2.6715580,15.8,153.0,51.4233947,-2.6715282
1264,42.13,0.723,491,498,334,191,0.336,51.4233890,-2.6715650,15.8,152.9,51.4233957,-2.6715277
1270,42.33,0.749,445,500,320,186,0.397,51.4233870,-2.6715720,15.8,153.0,51.4233960,-2.6715282
1276,42.53,0.699,402,502,316,184,0.454,51.4233840,-2.6715780,15.8,153.0,51.4233951,-2.6715282
1282,42.73,0.715,348,505,329,193,0.527,51.4233820,-2.6715850,15.8,153.0,51.4233958,-2.6715276
1288,42.93,0.702,304,502,309,182,0.588,51.4233800,-2.6715910,15.8,153.0,51.4233956,-2.6715271
1294,43.13,0.647,257,505,318,186,0.651,51.4233780,-2.6715980,15.8,153.0,51.4233960,-2.6715276
1300,43.33,0.733,207,505,323,188,0.719,51.4233760,-2.6716050,15.8,153.0,51.4233963,-2.6715274
1304,43.47,0.584,175,507,298,172,0.763,51.4233730,-2.6716120,15.8,153.0,51.4233949,-2.6715299
1310,43.67,0.596,136,511,268,175,0.815,51.4233710,-2.6716190,15.8,153.0,51.4233950,-2.6715318
1316,43.87,0.741,120,505,238,191,0.838,51.4233690,-2.6716270,15.8,153.0,51.4233931,-2.6715372
1636,54.53,0.696,766,459,323,184,0.165,51.4234010,-2.6715330,15.8,153.0,51.4233917,-2.6715322
1642,54.73,0.587,784,455,309,179,0.181,51.4234030,-2.6715300,15.8,153.0,51.4233925,-2.6715315
1648,54.93,0.748,821,434,309,179,0.239,51.4234050,-2.6715270,15.8,153.0,51.4233910,-2.6715323
1654,55.13,0.730,841,409,332,193,0.293,51.4234080,-2.6715260,15.7,153.0,51.4233909,-2.6715323
1660,55.33,0.734,857,382,304,175,0.347,51.4234110,-2.6715250,15.7,153.0,51.4233908,-2.6715316
1666,55.53,0.767,878,345,311,177,0.420,51.4234150,-2.6715250,15.7,153.0,51.4233905,-2.6715319
1672,55.73,0.666,896,309,300,172,0.490,51.4234190,-2.6715250,15.7,153.0,51.4233906,-2.6715319
1678,55.93,0.676,914,268,323,186,0.568,51.4234230,-2.6715250,15.7,153.0,51.4233902,-2.6715314
1684,56.13,0.728,928,222,334,193,0.653,51.4234270,-2.6715260,15.6,153.0,51.4233896,-2.6715311
1690,56.33,0.528,939,177,304,182,0.734,51.4234320,-2.6715270,15.6,152.9,51.4233902,-2.6715303
1696,56.53,0.564,955,138,318,184,0.809,51.4234360,-2.6715280,15.6,153.0,51.4233901,-2.6715308
1772,59.07,0.463,1032,213,125,134,0.738,51.4234300,-2.6715110,15.9,153.0,51.4233864,-2.6715305
1778,59.27,0.468,1039,275,118,118,0.653,51.4234250,-2.6715060,15.9,153.0,51.4233865,-2.6715311
1782,59.40,0.506,1048,313,104,106,0.611,51.4234220,-2.6715040,15.9,153.0,51.4233865,-2.6715332
1788,59.60,0.448,1057,357,77,95,0.568,51.4234170,-2.6714990,16.0,153.0,51.4233850,-2.6715328
