
================================================================================
  BLUR+ALT TEST — 2026-03-19 12:31:38
  Host: MSI, Model: best.tflite, Backend: ultralytics
================================================================================
  alt=15m spd=0m/s blur=1px dummy=83px det=3/3 conf=0.95
  alt=15m spd=2m/s blur=1px dummy=83px det=3/3 conf=0.94
  alt=15m spd=5m/s blur=1px dummy=83px det=3/3 conf=0.94
  alt=15m spd=8m/s blur=2px dummy=83px det=3/3 conf=0.95
  alt=15m spd=10m/s blur=3px dummy=83px det=3/3 conf=0.94
  alt=15m spd=15m/s blur=5px dummy=83px det=3/3 conf=0.94
  alt=15m spd=20m/s blur=7px dummy=83px det=3/3 conf=0.91
  alt=20m spd=0m/s blur=1px dummy=62px det=3/3 conf=0.96
  alt=20m spd=2m/s blur=1px dummy=62px det=3/3 conf=0.96
  alt=20m spd=5m/s blur=1px dummy=62px det=3/3 conf=0.96
  alt=20m spd=8m/s blur=2px dummy=62px det=3/3 conf=0.96
  alt=20m spd=10m/s blur=2px dummy=62px det=3/3 conf=0.97
  alt=20m spd=15m/s blur=4px dummy=62px det=3/3 conf=0.96
  alt=20m spd=20m/s blur=5px dummy=62px det=3/3 conf=0.96
  alt=25m spd=0m/s blur=1px dummy=50px det=3/3 conf=0.94
  alt=25m spd=2m/s blur=1px dummy=50px det=3/3 conf=0.94
  alt=25m spd=5m/s blur=1px dummy=50px det=3/3 conf=0.94
  alt=25m spd=8m/s blur=1px dummy=50px det=3/3 conf=0.93
  alt=25m spd=10m/s blur=2px dummy=50px det=2/3 conf=0.94
  alt=25m spd=15m/s blur=3px dummy=50px det=3/3 conf=0.92
  alt=25m spd=20m/s blur=4px dummy=50px det=3/3 conf=0.93
  alt=30m spd=0m/s blur=1px dummy=41px det=3/3 conf=0.87
  alt=30m spd=2m/s blur=1px dummy=41px det=3/3 conf=0.87
  alt=30m spd=5m/s blur=1px dummy=41px det=3/3 conf=0.89
  alt=30m spd=8m/s blur=1px dummy=41px det=2/3 conf=0.88
  alt=30m spd=10m/s blur=1px dummy=41px det=3/3 conf=0.89
  alt=30m spd=15m/s blur=2px dummy=41px det=3/3 conf=0.89
  alt=30m spd=20m/s blur=3px dummy=41px det=3/3 conf=0.85
  alt=40m spd=0m/s blur=1px dummy=31px det=3/3 conf=0.76
  alt=40m spd=2m/s blur=1px dummy=31px det=3/3 conf=0.72
  alt=40m spd=5m/s blur=1px dummy=31px det=3/3 conf=0.73
  alt=40m spd=8m/s blur=1px dummy=31px det=3/3 conf=0.75
  alt=40m spd=10m/s blur=1px dummy=31px det=3/3 conf=0.72
  alt=40m spd=15m/s blur=2px dummy=31px det=3/3 conf=0.75
  alt=40m spd=20m/s blur=2px dummy=31px det=3/3 conf=0.74
  alt=50m spd=0m/s blur=1px dummy=25px det=1/3 conf=0.58
  alt=50m spd=2m/s blur=1px dummy=25px det=3/3 conf=0.54
  alt=50m spd=5m/s blur=1px dummy=25px det=1/3 conf=0.51
  alt=50m spd=8m/s blur=1px dummy=25px det=2/3 conf=0.51
  alt=50m spd=10m/s blur=1px dummy=25px det=2/3 conf=0.56
  alt=50m spd=15m/s blur=1px dummy=25px det=1/3 conf=0.51
  alt=50m spd=20m/s blur=2px dummy=25px det=1/3 conf=0.55
  alt=60m spd=0m/s blur=1px dummy=20px det=1/3 conf=0.51
  alt=60m spd=2m/s blur=1px dummy=20px det=1/3 conf=0.51
  alt=60m spd=5m/s blur=1px dummy=20px det=1/3 conf=0.46
  alt=60m spd=8m/s blur=1px dummy=20px det=1/3 conf=0.46
